#X,Y,Z,attr 
 29911.801, 60500.000,  -662.075,     0.611
 11705.590, 60500.000,  -607.143,     0.863
 15919.255, 60500.000,  -659.184,     0.638
 52013.665, 60500.000,  -754.592,     0.468
 46448.447, 60500.000,  -714.116,     0.522
 33489.441, 60500.000,  -670.748,     0.595
 41439.752, 60500.000,  -670.748,     0.898
 55750.311, 60500.000,  -754.592,     0.961
 45017.391, 60500.000,  -676.531,     0.806
 57419.876, 60500.000,  -711.224,     0.777
 50423.602, 60500.000,  -745.918,     0.541
 53126.708, 60500.000,  -757.483,     0.675
 40962.733, 60500.000,  -696.769,     0.883
 57737.888, 60500.000,  -725.680,     0.930
 27208.696, 60500.000,  -612.925,     0.816
 22677.019, 60500.000,  -624.490,     0.748
 40247.205, 60500.000,  -667.857,     0.680
 31581.366, 60500.000,  -610.034,     0.513
 11228.571, 60500.000,  -540.646,     0.555
 49628.571, 60500.000,  -731.463,     0.881
 53683.230, 60500.000,  -728.571,     0.803
 53206.211, 60500.000,  -685.204,     0.807
 60440.994, 60500.000,  -717.007,     0.956
 39452.174, 60500.000,  -711.224,     0.842
 44858.385, 60500.000,  -670.748,     0.224
